cve,rank,reports_submitted_count,epss
CVE-2009-4873,2215,1,0.45197
CVE-2009-4873,2215,1,0.45197
CVE-2009-5020,900,4,0.00253
CVE-2010-0219,749,6,0.97452
CVE-2010-0408,1098,3,0.11197
CVE-2010-0434,1098,3,0.00316
CVE-2010-0434,1098,3,0.00316
CVE-2010-0738,2215,1,0.96762
CVE-2010-0872,2215,1,0.01613
CVE-2010-0872,2215,1,0.01613
CVE-2010-0927,2215,1,0.00144
CVE-2010-0927,2215,1,0.00144
CVE-2010-1157,2215,1,0.15387
CVE-2010-1256,474,15,0.08875
CVE-2010-1420,2215,1,0.00118
CVE-2010-1420,2215,1,0.00118
CVE-2010-1429,810,5,0.00573
CVE-2010-1452,631,8,0.22992
CVE-2010-1586,2215,1,0.00917
CVE-2010-1586,2215,1,0.00917
CVE-2010-1622,2215,1,0.03641
CVE-2010-1623,1416,2,0.42531
CVE-2010-1870,2215,1,0.06505
CVE-2010-1870,2215,1,0.06505
CVE-2010-1899,371,25,0.97061
CVE-2010-2068,900,4,0.00582
CVE-2010-2068,900,4,0.00582
CVE-2010-2094,2215,1,0.01361
CVE-2010-2273,900,2,0.04153
CVE-2010-2390,2215,1,0.00605
CVE-2010-2632,900,4,0.3229
CVE-2010-2730,534,11,0.24823
CVE-2010-2861,1416,2,0.96999
CVE-2010-3709,2215,1,0.00238
CVE-2010-3709,2215,1,0.00238
CVE-2010-3972,427,17,0.96992
CVE-2010-4052,2215,1,0.02296
CVE-2010-4052,2215,1,0.02296
CVE-2010-4150,2215,1,0.01935
CVE-2010-4150,2215,1,0.01935
CVE-2010-4156,2215,1,0.01225
CVE-2010-4208,1098,3,0.00355
CVE-2010-4240,1416,2,0.0011
CVE-2010-4252,1098,3,0.0302
CVE-2010-4478,593,9,0.01558
CVE-2010-4698,2215,1,0.01137
CVE-2010-4699,2215,1,0.006
CVE-2010-4699,2215,1,0.006
CVE-2010-4710,1098,3,0.0022
CVE-2010-4710,1098,3,0.0022
CVE-2010-4755,685,7,0.01098
CVE-2010-4755,685,7,0.01098
CVE-2010-4816,447,1,0.00397
CVE-2010-5107,560,10,0.0787
CVE-2010-5290,2215,1,0.00585
CVE-2010-5298,2215,1,0.02897
CVE-2010-5312,560,10,0.00162
CVE-2011-0014,2215,1,0.10337
CVE-2011-0014,2215,1,0.10337
CVE-2011-0411,1098,3,0.01138
CVE-2011-0419,685,7,0.96677
CVE-2011-0707,2215,1,0.0033
CVE-2011-0755,2215,1,0.0018
CVE-2011-1092,2215,1,0.02758
CVE-2011-1466,2215,1,0.02148
CVE-2011-1466,2215,1,0.02148
CVE-2011-1468,2215,1,0.15017
CVE-2011-1469,2215,1,0.0153
CVE-2011-1469,2215,1,0.0153
CVE-2011-2461,631,8,0.03562
CVE-2011-3182,2215,1,0.01878
CVE-2011-3189,2215,1,0.01352
CVE-2011-3189,2215,1,0.01352
CVE-2011-3189,2215,1,0.01352
CVE-2011-3192,290,63,0.96315
CVE-2011-3348,685,7,0.24809
CVE-2011-3368,534,11,0.97386
CVE-2011-3389,196,55,0.00854
CVE-2011-3416,1098,3,0.96212
CVE-2011-3416,1098,3,0.96212
CVE-2011-3607,749,6,0.00062
CVE-2011-3639,749,6,0.01497
CVE-2011-4108,2215,1,0.00485
CVE-2011-4108,2215,1,0.00485
CVE-2011-4108,2215,1,0.00485
CVE-2011-4109,2215,1,0.03839
CVE-2011-4317,631,8,0.94214
CVE-2011-4327,631,8,0.00042
CVE-2011-4367,900,4,0.93128
CVE-2011-4367,900,4,0.93128
CVE-2011-4415,810,5,0.00042
CVE-2011-4577,2215,1,0.10637
CVE-2011-4614,2215,1,0.16422
CVE-2011-4619,2215,1,0.18526
CVE-2011-4718,2215,1,0.0061
CVE-2011-4718,2215,1,0.0061
CVE-2011-4718,2215,1,0.0061
CVE-2011-4718,2215,1,0.0061
CVE-2011-4718,2215,1,0.0061
CVE-2011-4969,68,82,0.00306
CVE-2011-5000,593,9,0.00353
CVE-2011-5024,2215,1,0.00109
CVE-2011-5181,2215,1,0.00431
CVE-2011-5270,2215,1,0.00097
CVE-2012-0031,685,7,0.00043
CVE-2012-0053,534,11,0.71697
CVE-2012-0744,2215,1,0.72648
CVE-2012-0744,2215,1,0.72648
CVE-2012-0814,560,10,0.00285
CVE-2012-0830,2215,1,0.86513
CVE-2012-0831,2215,1,0.00625
CVE-2012-0834,2215,1,0.00461
CVE-2012-0883,810,5,0.00044
CVE-2012-1172,2215,1,0.02484
CVE-2012-1172,2215,1,0.02484
CVE-2012-1181,2215,1,0.01154
CVE-2012-1571,2215,1,0.00947
CVE-2012-1675,274,2,0.97368
CVE-2012-1675,274,2,0.97368
CVE-2012-1708,2215,1,0.00223
CVE-2012-1823,1416,2,0.92025
CVE-2012-2110,2215,1,0.09994
CVE-2012-2110,2215,1,0.09994
CVE-2012-2122,900,4,0.96788
CVE-2012-2122,900,4,0.96788
CVE-2012-2335,2215,1,0.14254
CVE-2012-2371,900,4,0.01099
CVE-2012-2371,900,4,0.01099
CVE-2012-2386,1098,3,0.08512
CVE-2012-2531,749,6,0.00042
CVE-2012-2531,749,6,0.00042
CVE-2012-2532,900,4,0.00335
CVE-2012-2660,2215,1,0.00338
CVE-2012-2687,900,4,0.00678
CVE-2012-2688,1416,2,0.163
CVE-2012-2904,810,5,0.01059
CVE-2012-2904,810,5,0.01059
CVE-2012-3137,276,1,0.07232
CVE-2012-3153,685,7,0.95586
CVE-2012-3439,2215,1,
CVE-2012-3499,427,17,0.00772
CVE-2012-3529,2215,1,0.00248
CVE-2012-3529,2215,1,0.00248
CVE-2012-3530,2215,1,0.00343
CVE-2012-3530,2215,1,0.00343
CVE-2012-3531,2215,1,0.0022
CVE-2012-3531,2215,1,0.0022
CVE-2012-3546,2215,1,0.0029
CVE-2012-4000,593,9,0.00467
CVE-2012-4242,749,6,0.00216
CVE-2012-4242,749,6,0.00216
CVE-2012-4244,2215,1,0.39727
CVE-2012-4253,2215,1,0.01162
CVE-2012-4547,2215,1,0.0023
CVE-2012-4547,2215,1,0.0023
CVE-2012-4547,2215,1,0.0023
CVE-2012-4558,415,18,0.21782
CVE-2012-4768,1098,3,0.00825
CVE-2012-4867,2215,1,0.09753
CVE-2012-4929,330,33,0.00232
CVE-2012-4949,2215,1,0.00135
CVE-2012-5081,2215,1,0.04214
CVE-2012-5166,2215,1,0.1329
CVE-2012-5689,2215,1,0.01157
CVE-2012-5689,2215,1,0.01157
CVE-2012-5783,2215,1,0.00238
CVE-2012-5783,2215,1,0.00238
CVE-2012-5868,1416,2,0.00198
CVE-2012-5868,1416,2,0.00198
CVE-2012-5881,1098,3,0.00254
CVE-2012-5883,2215,1,0.00224
CVE-2012-6095,2215,1,0.00042
CVE-2012-6095,2215,1,0.00042
CVE-2012-6095,2215,1,0.00042
CVE-2012-6095,2215,1,0.00042
CVE-2012-6095,2215,1,0.00042
CVE-2012-6144,2215,1,0.00119
CVE-2012-6145,2215,1,0.001
CVE-2012-6145,2215,1,0.001
CVE-2012-6147,2215,1,0.001
CVE-2012-6147,2215,1,0.001
CVE-2012-6147,2215,1,0.001
CVE-2012-6147,2215,1,0.001
CVE-2012-6550,2215,1,0.00187
CVE-2012-6612,900,4,0.00224
CVE-2012-6633,2215,1,0.00118
CVE-2012-6634,2215,1,0.00197
CVE-2012-6692,749,6,0.00305
CVE-2012-6702,2215,1,0.00224
CVE-2012-6702,2215,1,0.00224
CVE-2012-6708,62,67,0.00823
CVE-2013-0156,1416,2,0.97253
CVE-2013-0156,1416,2,0.97253
CVE-2013-0166,2215,1,0.00682
CVE-2013-0169,221,70,0.00536
CVE-2013-0235,1098,3,0.14163
CVE-2013-0237,2215,1,0.00181
CVE-2013-0291,2215,1,0.51061
CVE-2013-0333,2215,1,0.97276
CVE-2013-0340,2215,1,0.00523
CVE-2013-0634,2215,1,0.96581
CVE-2013-1070,2215,1,0.00223
CVE-2013-1070,2215,1,0.00223
CVE-2013-1643,900,4,0.00291
CVE-2013-1643,900,4,0.00291
CVE-2013-1752,2215,1,0.00236
CVE-2013-1752,2215,1,0.00236
CVE-2013-1752,2215,1,0.00236
CVE-2013-1752,2215,1,0.00236
CVE-2013-1842,2215,1,0.00422
CVE-2013-1842,2215,1,0.00422
CVE-2013-1862,427,17,0.30978
CVE-2013-1896,474,15,0.95616
CVE-2013-1942,1416,2,0.01099
CVE-2013-1942,1416,2,0.01099
CVE-2013-2022,2215,1,0.00282
CVE-2013-2028,1416,2,0.1516
CVE-2013-2070,810,5,0.01428
CVE-2013-2110,900,4,0.05466
CVE-2013-2110,900,4,0.05466
CVE-2013-2165,593,9,0.10015
CVE-2013-2204,1416,2,0.00576
CVE-2013-2205,1416,2,0.00242
CVE-2013-2248,447,16,0.97189
CVE-2013-2249,810,5,0.01219
CVE-2013-2251,900,4,0.9734
CVE-2013-2266,2215,1,0.94267
CVE-2013-2566,265,70,0.00536
CVE-2013-3214,2215,1,0.85019
CVE-2013-3214,2215,1,0.85019
CVE-2013-3214,2215,1,0.85019
CVE-2013-3214,2215,1,0.85019
CVE-2013-3479,2215,1,0.00083
CVE-2013-3526,2215,1,0.00519
CVE-2013-3587,236,43,0.00334
CVE-2013-3735,2215,1,0.00162
CVE-2013-3827,211,26,0.17496
CVE-2013-4164,2215,1,0.0454
CVE-2013-4164,2215,1,0.0454
CVE-2013-4164,2215,1,0.0454
CVE-2013-4238,2215,1,0.00198
CVE-2013-4248,2215,1,0.02915
CVE-2013-4286,2215,1,0.00525
CVE-2013-4286,2215,1,0.00525
CVE-2013-4298,2215,1,0.04756
CVE-2013-4298,2215,1,0.04756
CVE-2013-4338,2215,1,0.10596
CVE-2013-4338,2215,1,0.10596
CVE-2013-4340,2215,1,0.00339
CVE-2013-4340,2215,1,0.00339
CVE-2013-4352,560,10,0.04147
CVE-2013-4444,2215,1,0.06806
CVE-2013-4545,2215,1,0.0021
CVE-2013-4548,1416,2,0.00416
CVE-2013-4560,2215,1,0.02891
CVE-2013-4636,2215,1,0.0022
CVE-2013-4710,685,7,0.03582
CVE-2013-4710,685,7,0.03582
CVE-2013-4810,2215,1,0.86336
CVE-2013-4854,2215,1,0.95342
CVE-2013-4879,2215,1,0.00343
CVE-2013-4879,2215,1,0.00343
CVE-2013-4939,2215,1,0.0036
CVE-2013-4939,2215,1,0.0036
CVE-2013-5046,2215,1,0.00083
CVE-2013-5046,2215,1,0.00083
CVE-2013-5093,2215,1,0.96922
CVE-2013-5211,2215,1,0.96433
CVE-2013-5332,2215,1,0.02518
